C/A,Unit,Scp,Station,Linename,Division,Date,Time,Desc,Entries,Exits,On_N_Line,Dayofweek,NewCol
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-28,00:00:00,REGULAR,1118755,4179536,True,1,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-28,04:00:00,REGULAR,1118756,4179541,True,1,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-28,08:00:00,REGULAR,1118768,4179773,True,1,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-28,12:00:00,REGULAR,1118838,4180351,True,1,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-28,16:00:00,REGULAR,1118935,4180505,True,1,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-28,20:00:00,REGULAR,1119153,4180999,True,1,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-29,00:00:00,REGULAR,1119239,4181141,True,2,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-29,04:00:00,REGULAR,1119243,4181151,True,2,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-29,08:00:00,REGULAR,1119251,4181376,True,2,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-29,12:00:00,REGULAR,1119294,4182107,True,2,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-29,16:00:00,REGULAR,1119383,4182452,True,2,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-29,20:00:00,REGULAR,1119577,4183002,True,2,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-30,00:00:00,REGULAR,1119671,4183151,True,3,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-30,04:00:00,REGULAR,1119676,4183163,True,3,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-30,08:00:00,REGULAR,1119682,4183396,True,3,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-30,12:00:00,REGULAR,1119735,4184110,True,3,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-30,16:00:00,REGULAR,1119835,4184502,True,3,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-30,20:00:00,REGULAR,1120035,4185047,True,3,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-31,00:00:00,REGULAR,1120131,4185212,True,4,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-31,04:00:00,REGULAR,1120136,4185236,True,4,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-31,08:00:00,REGULAR,1120145,4185445,True,4,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-31,12:00:00,REGULAR,1120176,4186069,True,4,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-31,16:00:00,REGULAR,1120295,4186481,True,4,
A002,R051,02-03-00,59 ST,NQR456W,BMT,2018-08-31,20:00:00,REGULAR,1120469,4186877,True,4,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-25,00:00:00,REGULAR,804469,1247571,True,5,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-25,04:00:00,REGULAR,804493,1247615,True,5,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-25,08:00:00,REGULAR,804509,1247697,True,5,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-25,12:00:00,REGULAR,804647,1247976,True,5,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-25,16:00:00,REGULAR,804874,1248319,True,5,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-25,20:00:00,REGULAR,805119,1248641,True,5,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-26,00:00:00,REGULAR,805300,1248839,True,6,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-26,04:00:00,REGULAR,805326,1248869,True,6,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-26,08:00:00,REGULAR,805341,1248932,True,6,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-26,12:00:00,REGULAR,805429,1249179,True,6,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-26,16:00:00,REGULAR,805626,1249502,True,6,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-26,20:00:00,REGULAR,805854,1249834,True,6,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-27,00:00:00,REGULAR,806011,1249996,True,0,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-27,04:00:00,REGULAR,806021,1250014,True,0,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-27,08:00:00,REGULAR,806058,1250311,True,0,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-27,12:00:00,REGULAR,806217,1251010,True,0,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-27,16:00:00,REGULAR,806453,1251354,True,0,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-27,20:00:00,REGULAR,806939,1251887,True,0,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-28,00:00:00,REGULAR,807135,1252056,True,1,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-28,04:00:00,REGULAR,807145,1252069,True,1,
