C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/27/2018,08:00:00,REGULAR,0001118295,0004178194                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/27/2018,12:00:00,REGULAR,0001118355,0004178730                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/27/2018,16:00:00,REGULAR,0001118459,0004178977                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/27/2018,20:00:00,REGULAR,0001118677,0004179430                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/28/2018,00:00:00,REGULAR,0001118755,0004179536                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/28/2018,04:00:00,REGULAR,0001118756,0004179541                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/28/2018,08:00:00,REGULAR,0001118768,0004179773                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/28/2018,12:00:00,REGULAR,0001118838,0004180351                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/28/2018,16:00:00,REGULAR,0001118935,0004180505                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/28/2018,20:00:00,REGULAR,0001119153,0004180999                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/29/2018,00:00:00,REGULAR,0001119239,0004181141                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/29/2018,04:00:00,REGULAR,0001119243,0004181151                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/29/2018,08:00:00,REGULAR,0001119251,0004181376                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/29/2018,12:00:00,REGULAR,0001119294,0004182107                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/29/2018,16:00:00,REGULAR,0001119383,0004182452                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/29/2018,20:00:00,REGULAR,0001119577,0004183002                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/30/2018,00:00:00,REGULAR,0001119671,0004183151                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/30/2018,04:00:00,REGULAR,0001119676,0004183163                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/30/2018,08:00:00,REGULAR,0001119682,0004183396                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/30/2018,12:00:00,REGULAR,0001119735,0004184110                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/30/2018,16:00:00,REGULAR,0001119835,0004184502                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/30/2018,20:00:00,REGULAR,0001120035,0004185047                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/31/2018,00:00:00,REGULAR,0001120131,0004185212                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/31/2018,04:00:00,REGULAR,0001120136,0004185236                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/31/2018,08:00:00,REGULAR,0001120145,0004185445                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/31/2018,12:00:00,REGULAR,0001120176,0004186069                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/31/2018,16:00:00,REGULAR,0001120295,0004186481                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,08/31/2018,20:00:00,REGULAR,0001120469,0004186877                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/25/2018,00:00:00,REGULAR,0000804469,0001247571                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/25/2018,04:00:00,REGULAR,0000804493,0001247615                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/25/2018,08:00:00,REGULAR,0000804509,0001247697                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/25/2018,12:00:00,REGULAR,0000804647,0001247976                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/25/2018,16:00:00,REGULAR,0000804874,0001248319                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/25/2018,20:00:00,REGULAR,0000805119,0001248641                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/26/2018,00:00:00,REGULAR,0000805300,0001248839                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/26/2018,04:00:00,REGULAR,0000805326,0001248869                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/26/2018,08:00:00,REGULAR,0000805341,0001248932                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/26/2018,12:00:00,REGULAR,0000805429,0001249179                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/26/2018,16:00:00,REGULAR,0000805626,0001249502                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/26/2018,20:00:00,REGULAR,0000805854,0001249834                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/27/2018,00:00:00,REGULAR,0000806011,0001249996                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/27/2018,04:00:00,REGULAR,0000806021,0001250014                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/27/2018,08:00:00,REGULAR,0000806058,0001250311                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/27/2018,12:00:00,REGULAR,0000806217,0001251010                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/27/2018,16:00:00,REGULAR,0000806453,0001251354                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/27/2018,20:00:00,REGULAR,0000806939,0001251887                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/28/2018,00:00:00,REGULAR,0000807135,0001252056                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/28/2018,04:00:00,REGULAR,0000807145,0001252069                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/28/2018,08:00:00,REGULAR,0000807166,0001252345                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/28/2018,12:00:00,REGULAR,0000807328,0001252969                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/28/2018,16:00:00,REGULAR,0000807608,0001253171                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/28/2018,20:00:00,REGULAR,0000808099,0001253672                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/29/2018,00:00:00,REGULAR,0000808313,0001253862                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/29/2018,04:00:00,REGULAR,0000808332,0001253891                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/29/2018,08:00:00,REGULAR,0000808369,0001254148                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/29/2018,12:00:00,REGULAR,0000808490,0001254857                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/29/2018,16:00:00,REGULAR,0000808793,0001255180                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/29/2018,20:00:00,REGULAR,0000809308,0001255633                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/30/2018,00:00:00,REGULAR,0000809577,0001255807                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/30/2018,04:00:00,REGULAR,0000809590,0001255828                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/30/2018,08:00:00,REGULAR,0000809621,0001256073                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/30/2018,12:00:00,REGULAR,0000809768,0001256756                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/30/2018,16:00:00,REGULAR,0000810042,0001257074                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/30/2018,20:00:00,REGULAR,0000810555,0001257512                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/31/2018,00:00:00,REGULAR,0000810812,0001257702                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/31/2018,04:00:00,REGULAR,0000810837,0001257734                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/31/2018,08:00:00,REGULAR,0000810866,0001257954                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/31/2018,12:00:00,REGULAR,0000811013,0001258508                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/31/2018,16:00:00,REGULAR,0000811337,0001258920                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,08/31/2018,20:00:00,REGULAR,0000811733,0001259271                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/25/2018,00:00:00,REGULAR,0005888387,0007995190                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/25/2018,04:00:00,REGULAR,0005888405,0007995214                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/25/2018,08:00:00,REGULAR,0005888424,0007995288                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/25/2018,12:00:00,REGULAR,0005888542,0007995521                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/25/2018,16:00:00,REGULAR,0005888786,0007995730                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/25/2018,20:00:00,REGULAR,0005889045,0007995937                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/26/2018,00:00:00,REGULAR,0005889224,0007996054                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/26/2018,04:00:00,REGULAR,0005889251,0007996075                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/26/2018,08:00:00,REGULAR,0005889263,0007996116                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/26/2018,12:00:00,REGULAR,0005889359,0007996285                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/26/2018,16:00:00,REGULAR,0005889518,0007996465                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/26/2018,20:00:00,REGULAR,0005889695,0007996677                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/27/2018,00:00:00,REGULAR,0005889827,0007996777                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/27/2018,04:00:00,REGULAR,0005889840,0007996789                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/27/2018,08:00:00,REGULAR,0005889876,0007997075                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/27/2018,12:00:00,REGULAR,0005890054,0007997594                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/27/2018,16:00:00,REGULAR,0005890291,0007997819                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/27/2018,20:00:00,REGULAR,0005890861,0007998146                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/28/2018,00:00:00,REGULAR,0005891056,0007998258                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/28/2018,04:00:00,REGULAR,0005891072,0007998272                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/28/2018,08:00:00,REGULAR,0005891115,0007998533                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/28/2018,12:00:00,REGULAR,0005891287,0007999145                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/28/2018,16:00:00,REGULAR,0005891505,0007999385                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/28/2018,20:00:00,REGULAR,0005892067,0007999669                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/29/2018,00:00:00,REGULAR,0005892262,0007999798                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/29/2018,04:00:00,REGULAR,0005892280,0007999814                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/29/2018,08:00:00,REGULAR,0005892312,0008000078                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/29/2018,12:00:00,REGULAR,0005892477,0008000605                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/29/2018,16:00:00,REGULAR,0005892730,0008000825                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/29/2018,20:00:00,REGULAR,0005893277,0008001138                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/30/2018,00:00:00,REGULAR,0005893508,0008001265                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/30/2018,04:00:00,REGULAR,0005893528,0008001276                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/30/2018,08:00:00,REGULAR,0005893561,0008001544                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/30/2018,12:00:00,REGULAR,0005893762,0008002135                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/30/2018,16:00:00,REGULAR,0005894020,0008002375                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/30/2018,20:00:00,REGULAR,0005894573,0008002636                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/31/2018,00:00:00,REGULAR,0005894778,0008002768                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/31/2018,04:00:00,REGULAR,0005894795,0008002778                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/31/2018,08:00:00,REGULAR,0005894816,0008003006                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/31/2018,12:00:00,REGULAR,0005894981,0008003439                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/31/2018,16:00:00,REGULAR,0005895319,0008003702                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,08/31/2018,20:00:00,REGULAR,0005895735,0008003909                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,08/25/2018,00:00:00,REGULAR,0005472843,0006353137                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,08/25/2018,04:00:00,REGULAR,0005472861,0006353152                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,08/25/2018,08:00:00,REGULAR,0005472869,0006353216                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,08/25/2018,12:00:00,REGULAR,0005472950,0006353364                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,08/25/2018,16:00:00,REGULAR,0005473155,0006353494                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,08/25/2018,20:00:00,REGULAR,0005473374,0006353598                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,08/26/2018,00:00:00,REGULAR,0005473508,0006353656                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,08/26/2018,04:00:00,REGULAR,0005473521,0006353660                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,08/26/2018,08:00:00,REGULAR,0005473534,0006353694                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,08/26/2018,12:00:00,REGULAR,0005473596,0006353808                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,08/26/2018,16:00:00,REGULAR,0005473752,0006353908                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,08/26/2018,20:00:00,REGULAR,0005473947,0006354019                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,08/27/2018,00:00:00,REGULAR,0005474047,0006354077                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,08/27/2018,04:00:00,REGULAR,0005474051,0006354085                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,08/27/2018,08:00:00,REGULAR,0005474090,0006354302                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,08/27/2018,12:00:00,REGULAR,0005474306,0006354704                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,08/27/2018,16:00:00,REGULAR,0005474523,0006354829                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,08/27/2018,20:00:00,REGULAR,0005475040,0006355015                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,08/28/2018,00:00:00,REGULAR,0005475185,0006355065                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,08/28/2018,04:00:00,REGULAR,0005475193,0006355069                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,08/28/2018,08:00:00,REGULAR,0005475237,0006355304                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,08/28/2018,12:00:00,REGULAR,0005475419,0006355787                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,08/28/2018,16:00:00,REGULAR,0005475623,0006356017                                            
